symbol,date,open,high,low,close,volume
AAPL,12/22/2025,431.85,433.46,431.13,431.86,4317661
AAPL,12/23/2025,430.11,434.56,426.12,430.60,9532746
AAPL,12/24/2025,431.27,435.54,430.93,433.29,724334
AAPL,12/25/2025,435.79,441.03,434.32,437.20,9680942
AAPL,12/26/2025,434.48,436.69,430.81,433.83,7293096
AAPL,12/29/2025,35.44,438.03,431.07,433.54,5679404
AAPL,12/30/2025,435.39,441.73,431.45,437.97,5304878
AAPL,12/31/2025,-437.08,440.84,436.84,440.06,6709773
AMZN,12/22-2025,23.33,424.42,417.98,421.30,2578243
AMZN,12/23/2025,417.75,420.65,414.35,418.04,4873501
AMZN,12/24/2025,417.38,423.19,413.61,420.66,6123688
AMZN,12/25/2025,419.20,419.64,415.06,417.68,9918107
AMZN,12/26/2025,416.93,418.52,414.49,416.98,6882505
AMZN,12/29/2025,420.64,424.05,415.90,416.89,6487328
AMZN,12/30/2025,-415.10,417.10,411.24,416.04,7102511
AMZN,12/31/2025,418.27,422.21,413.14,416.88,9411018
GOOG,12/22/2025,101.76,102.92,98.29,99.64,5449696
GOOG,12/23/2025,100.31,103.59,97.27,99.76,495113
GOOG,12/24/2025,98.73,103.88,96.04,101.44,1509168
GOOG,12/25/2025,99.65,100.70,95.09,98.56,7235283
GOOG,12/26/2025,97.78,99.87,92.78,94.44,6248831
GOOG,12/29/2025,93.58,94.41,92.77,94.40,7550777
GOOG,12/30/2025,95.20,99.19,92.58,98.06,5390616
GOOG,12/31/2025,98.02,102.75,95.34,99.42,3688923
MSFT,12/22/2025,238.86,241.50,235.15,238.77,9122802
MSFT,12/23/2025,239.04,242.20,237.72,239.78,3911896
MSFT,12/24/2025,239.18,241.83,236.74,238.52,2722500
MSFT,12/40/2025,238.10,239.48,236.55,236.57,9389161
MSFT,12/26/2025,237.25,237.79,233.03,234.05,281719
MSFT,12/29/2025,234.72,238.16,229.88,232.91,9193771
MSFT,12/30/2025,230.62,232.47,229.30,231.77,7384339
MSFT,12/31/2025,230.78,233.44,229.18,231.21,3989014
TSLA,12/22/2025,471.01,471.47,467.48,471.36,8938735
TSLA,12/23/2025,472.93,476.29,469.94,472.20,9828666
TSLA,12/24/2025,473.76,478.48,471.05,475.63,656792
TSLA,12/25/2025,474.83,476.88,474.57,475.02,5543174
TSLA,12/26/2025,476.28,479.20,473.81,476.01,7392072
TSLA,12/29/2025,474.89,476.26,471.45,472.78,1268371
TSLA,12/30/2025,472.72,473.62,470.81,472.61,5516473
TSLA,12/31/2025,473.74,478.33,471.58,474.92,6187761
